EPOCH=1,accges= 22.164%,accges1= 47.751%,accges2= 21.936%,accid= 80.671%
EPOCH=2,accges= 22.164%,accges1= 48.827%,accges2= 23.207%,accid= 83.703%
EPOCH=3,accges= 22.164%,accges1= 49.348%,accges2= 23.338%,accid= 85.756%
EPOCH=4,accges= 22.164%,accges1= 49.544%,accges2= 23.110%,accid= 87.027%
EPOCH=5,accges= 22.164%,accges1= 49.967%,accges2= 23.207%,accid= 86.701%
EPOCH=6,accges= 22.164%,accges1= 49.967%,accges2= 23.110%,accid= 86.375%
EPOCH=7,accges= 22.164%,accges1= 49.837%,accges2= 23.501%,accid= 87.321%
EPOCH=8,accges= 22.164%,accges1= 49.511%,accges2= 23.566%,accid= 87.647%
EPOCH=9,accges= 22.164%,accges1= 49.576%,accges2= 23.370%,accid= 87.223%
EPOCH=10,accges= 22.164%,accges1= 49.837%,accges2= 24.120%,accid= 88.201%
EPOCH=11,accges= 22.164%,accges1= 49.804%,accges2= 24.120%,accid= 88.885%
EPOCH=12,accges= 22.164%,accges1= 50.000%,accges2= 24.153%,accid= 89.602%
EPOCH=13,accges= 22.164%,accges1= 49.935%,accges2= 24.250%,accid= 89.374%
EPOCH=14,accges= 22.164%,accges1= 50.033%,accges2= 24.120%,accid= 89.635%
EPOCH=15,accges= 22.164%,accges1= 49.902%,accges2= 24.218%,accid= 89.798%
EPOCH=16,accges= 22.164%,accges1= 49.870%,accges2= 24.120%,accid= 89.798%
EPOCH=17,accges= 22.164%,accges1= 49.967%,accges2= 24.055%,accid= 89.896%
EPOCH=18,accges= 22.164%,accges1= 50.065%,accges2= 24.185%,accid= 89.733%
EPOCH=19,accges= 22.164%,accges1= 50.065%,accges2= 24.185%,accid= 89.765%
EPOCH=20,accges= 22.164%,accges1= 49.967%,accges2= 24.055%,accid= 89.602%
EPOCH=21,accges= 22.164%,accges1= 49.935%,accges2= 24.185%,accid= 89.863%
EPOCH=22,accges= 22.164%,accges1= 49.935%,accges2= 24.120%,accid= 89.668%
EPOCH=23,accges= 22.164%,accges1= 50.000%,accges2= 24.087%,accid= 89.798%
EPOCH=24,accges= 22.164%,accges1= 50.000%,accges2= 24.153%,accid= 90.124%
EPOCH=25,accges= 22.164%,accges1= 50.065%,accges2= 24.153%,accid= 90.059%
EPOCH=26,accges= 22.164%,accges1= 50.033%,accges2= 24.120%,accid= 90.059%
EPOCH=27,accges= 22.164%,accges1= 49.967%,accges2= 24.185%,accid= 89.765%
EPOCH=28,accges= 22.164%,accges1= 49.935%,accges2= 24.120%,accid= 88.820%
EPOCH=29,accges= 22.164%,accges1= 49.935%,accges2= 24.185%,accid= 90.156%
EPOCH=30,accges= 22.164%,accges1= 49.967%,accges2= 24.055%,accid= 89.765%
EPOCH=31,accges= 22.164%,accges1= 49.935%,accges2= 24.218%,accid= 89.668%
EPOCH=32,accges= 22.164%,accges1= 49.902%,accges2= 24.218%,accid= 90.059%
EPOCH=33,accges= 22.164%,accges1= 50.033%,accges2= 24.120%,accid= 89.961%
EPOCH=34,accges= 22.164%,accges1= 50.000%,accges2= 24.055%,accid= 89.733%
EPOCH=35,accges= 22.164%,accges1= 49.935%,accges2= 24.218%,accid= 90.189%
EPOCH=36,accges= 22.164%,accges1= 50.033%,accges2= 24.250%,accid= 90.222%
EPOCH=37,accges= 22.164%,accges1= 49.967%,accges2= 24.120%,accid= 89.668%
EPOCH=38,accges= 22.164%,accges1= 49.967%,accges2= 24.153%,accid= 89.896%
EPOCH=39,accges= 22.164%,accges1= 49.935%,accges2= 24.185%,accid= 90.026%
EPOCH=40,accges= 22.164%,accges1= 49.902%,accges2= 24.153%,accid= 90.091%
EPOCH=41,accges= 22.164%,accges1= 50.000%,accges2= 24.087%,accid= 89.309%
EPOCH=42,accges= 22.164%,accges1= 49.935%,accges2= 24.218%,accid= 89.928%
EPOCH=43,accges= 22.164%,accges1= 49.935%,accges2= 24.250%,accid= 89.928%
